Date,Adj Close
11/15/19,1.528
11/17/19,null
11/18/19,1.523
11/19/19,1.525
11/20/19,1.52
11/21/19,1.53
11/22/19,1.543
11/24/19,null
11/25/19,1.545
11/26/19,1.565
11/27/19,1.565
11/29/19,1.54
12/1/19,null
12/2/19,1.538
12/3/19,1.538
12/4/19,1.498
12/5/19,1.493
12/6/19,1.48
12/8/19,null
12/9/19,1.498
12/10/19,1.515
12/11/19,1.52
12/12/19,1.53
12/13/19,1.523
12/15/19,null
12/16/19,1.525
12/17/19,1.53
12/18/19,1.518
12/19/19,1.533
12/20/19,1.528
12/22/19,null
12/23/19,1.52
12/24/19,1.538
12/26/19,1.535
12/27/19,1.518
12/29/19,null
12/30/19,1.49
12/31/19,1.505
1/2/20,1.495
1/3/20,1.473
1/5/20,null
1/6/20,1.488
1/7/20,1.5
1/8/20,1.493
1/9/20,1.5
1/10/20,1.498
1/12/20,null
1/13/20,1.51
1/14/20,1.53
1/15/20,1.508
1/16/20,1.518
1/17/20,1.523
1/19/20,null
1/21/20,1.503
1/22/20,1.513
1/23/20,1.515
1/24/20,1.49
1/26/20,null
1/27/20,1.505
1/28/20,1.53
1/29/20,1.52
1/30/20,1.528
1/31/20,1.51
2/2/20,null
2/3/20,1.518
2/4/20,1.538
2/5/20,1.52
2/6/20,1.53
2/7/20,1.518
2/9/20,null
2/10/20,1.52
2/11/20,1.538
2/12/20,1.535
2/13/20,1.545
2/14/20,1.535
2/16/20,null
2/18/20,1.535
2/19/20,1.543
2/20/20,1.538
2/21/20,1.518
2/23/20,null
2/24/20,1.503
2/25/20,1.49
2/26/20,1.478
2/27/20,1.395
2/28/20,1.23
3/1/20,null
3/2/20,1.135
3/3/20,0.918
3/4/20,0.675
3/5/20,0.595
3/6/20,0.415
3/8/20,null
3/9/20,0.33
3/10/20,0.39
3/11/20,0.368
3/12/20,0.273
3/13/20,0.243
3/15/20,null
3/16/20,0.185
3/17/20,0.165
3/18/20,0.003
3/19/20,-0.028
3/20/20,-0.033
3/22/20,null
3/23/20,-0.04
3/24/20,-0.033
3/25/20,-0.07
3/26/20,-0.105
3/27/20,-0.058
3/29/20,null
3/30/20,0.013
3/31/20,0.03
4/1/20,0.063
4/2/20,0.065
4/3/20,0.058
4/5/20,null
4/6/20,0.06
4/7/20,0.128
4/8/20,0.185
4/9/20,0.21
4/12/20,null
4/13/20,0.2
4/14/20,0.165
4/15/20,0.115
4/16/20,0.11
4/17/20,0.103
4/19/20,null
4/20/20,0.07
4/21/20,0.098
4/22/20,0.093
4/23/20,0.093
4/24/20,0.1
4/26/20,null
4/27/20,0.093
4/28/20,0.085
4/29/20,0.09
4/30/20,0.09
5/1/20,0.093
5/3/20,null
5/4/20,0.09
5/5/20,0.11
5/6/20,0.108
5/7/20,0.095
5/8/20,0.095
5/10/20,null
5/11/20,0.105
5/12/20,0.123
5/13/20,0.115
5/14/20,0.105
5/15/20,0.103
5/17/20,null
5/18/20,0.105
5/19/20,0.118
5/20/20,0.118
5/21/20,0.11
5/22/20,0.11
5/24/20,null
5/26/20,0.118
5/27/20,0.135
5/28/20,0.138
5/29/20,0.128
5/31/20,null
6/1/20,0.128
6/2/20,0.145
6/3/20,0.148
6/4/20,0.14
6/5/20,0.145
6/7/20,null
6/8/20,0.153
6/9/20,0.165
6/10/20,0.165
6/11/20,0.153
6/12/20,0.15
6/14/20,null
6/15/20,0.155
6/16/20,0.16
6/17/20,0.165
6/18/20,0.14
6/19/20,0.143
6/21/20,null
6/22/20,0.14
6/23/20,0.14
6/24/20,0.135
6/25/20,0.13
6/26/20,0.133
6/28/20,null
6/29/20,0.125
6/30/20,0.135
7/1/20,0.13
7/2/20,0.133
7/5/20,null
7/6/20,0.128
7/7/20,0.14
7/8/20,0.135
7/9/20,0.123
7/10/20,0.12
7/12/20,null
7/13/20,0.125
7/14/20,0.133
7/15/20,0.125
7/16/20,0.103
7/17/20,0.105
7/19/20,null
7/20/20,0.105
7/21/20,0.11
7/22/20,0.1
7/23/20,0.103
7/24/20,0.098
7/26/20,null
7/27/20,0.093
7/28/20,0.103
7/29/20,0.09
7/30/20,0.085
7/31/20,0.083
8/2/20,null
8/3/20,0.078
8/4/20,0.09
8/5/20,0.095
8/6/20,0.088
8/7/20,0.088
8/9/20,null
8/10/20,0.088
8/11/20,0.1
8/12/20,0.1
8/13/20,0.09
8/14/20,0.088
8/16/20,null
8/17/20,0.085
8/18/20,0.1
8/19/20,0.095
8/20/20,0.088
8/21/20,0.088
8/23/20,null
8/24/20,0.085
8/25/20,0.095
8/26/20,0.093
8/27/20,0.095
8/28/20,0.095
8/30/20,null
8/31/20,0.095
9/1/20,0.1
9/2/20,0.1
9/3/20,0.1
9/4/20,0.103
9/6/20,null
9/8/20,0.108
9/9/20,0.105
9/10/20,0.103
9/11/20,0.103
9/13/20,null
9/14/20,0.1
9/15/20,0.1
9/16/20,0.1
9/17/20,0.085
9/18/20,0.083
9/20/20,null
9/21/20,0.08
9/22/20,0.088
9/23/20,0.088
9/24/20,0.093
9/25/20,0.09
9/27/20,null
9/28/20,0.088
9/29/20,0.085
9/30/20,0.085
10/1/20,0.083
10/2/20,0.085
10/4/20,null
10/5/20,0.085
10/6/20,0.088
10/7/20,0.088
10/8/20,0.088
10/9/20,0.093
10/11/20,null
10/12/20,0.09
10/13/20,0.093
10/14/20,0.1
10/15/20,0.095
10/16/20,0.09
10/18/20,null
10/19/20,0.09
10/20/20,0.095
10/21/20,0.09
10/22/20,0.085
10/23/20,0.083
10/25/20,null
10/26/20,0.08
10/27/20,0.09
10/28/20,0.09
10/29/20,0.083
10/30/20,0.083
11/1/20,null
11/2/20,0.083
11/3/20,0.09
11/4/20,0.083
11/5/20,0.085
11/6/20,0.083
11/8/20,null
11/9/20,0.088
11/10/20,0.09
11/11/20,0.09
11/12/20,0.085
11/13/20,0.083
11/15/20,null
11/16/20,0.075
11/17/20,0.08
11/18/20,0.075
11/19/20,0.06
11/20/20,0.058
11/22/20,null
11/23/20,0.07
11/24/20,0.08
11/25/20,0.08
11/27/20,0.073
11/29/20,null
11/30/20,0.075
12/1/20,0.08
12/2/20,0.075
12/3/20,0.075
12/4/20,0.075
12/6/20,null
12/7/20,0.07
12/8/20,0.068
12/9/20,0.07
12/10/20,0.07
12/11/20,0.065
12/13/20,null
12/14/20,0.06
12/15/20,0.07
12/16/20,0.075
12/17/20,0.08
12/18/20,0.08
12/20/20,null
12/21/20,0.078
12/22/20,0.078
12/23/20,0.075
12/24/20,0.075
12/27/20,null
12/28/20,0.08
12/29/20,0.09
12/30/20,0.07
12/31/20,0.065
1/3/21,null
1/4/21,0.068
1/5/21,0.078
1/6/21,0.078
1/7/21,0.08
1/8/21,0.08
1/10/21,null
1/11/21,0.08
1/12/21,0.08
1/13/21,0.08
1/14/21,0.075
1/15/21,0.075
1/17/21,null
1/19/21,0.073
1/20/21,0.075
1/21/21,0.073
1/22/21,0.07
1/24/21,null
1/25/21,0.07
1/26/21,0.068
1/27/21,0.06
1/28/21,0.055
1/29/21,0.048
1/31/21,null
2/1/21,0.048
2/2/21,0.05
2/3/21,0.04
2/4/21,0.03
2/5/21,0.023
2/7/21,null
2/8/21,0.02
2/9/21,0.033
2/10/21,0.035
2/11/21,0.035
2/12/21,0.035
2/14/21,null
2/16/21,0.035
2/17/21,0.035
2/18/21,0.023
2/19/21,0.023
2/21/21,null
2/22/21,0.025
2/23/21,0.023
2/24/21,0.028
2/25/21,0.033
2/26/21,0.035
2/28/21,null
3/1/21,0.028
3/2/21,0.035
3/3/21,0.035
3/4/21,0.028
3/5/21,0.028
3/7/21,null
3/8/21,0.035
3/9/21,0.035
3/10/21,0.03
3/11/21,0.028
3/12/21,0.025
3/14/21,null
3/15/21,0.015
3/16/21,0.008
3/17/21,0.008
3/18/21,0.003
3/19/21,0.005
3/21/21,null
3/22/21,0.005
3/23/21,0.01
3/24/21,0.015
3/25/21,0.015
3/26/21,0.015
3/28/21,null
3/29/21,0.008
3/30/21,0.013
3/31/21,0.013
4/1/21,0.008
4/4/21,null
4/5/21,0.015
4/6/21,0.015
4/7/21,0.01
4/8/21,0.005
4/9/21,0.003
4/11/21,null
4/12/21,0.01
4/13/21,0.015
4/14/21,0.015
4/15/21,0.01
4/16/21,0.008
4/18/21,null
4/19/21,0.015
4/20/21,0.015
4/21/21,0.013
4/22/21,0.015
4/23/21,0.015
4/25/21,null
4/26/21,0.008
4/27/21,0.01
4/28/21,0.008
4/29/21,0.008
4/30/21,0.003
5/2/21,null
5/3/21,0.005
5/4/21,0.01
5/5/21,0.008
5/6/21,0.008
5/7/21,0.008
5/9/21,null
5/10/21,0.005
5/11/21,0.01
5/12/21,0.01
5/13/21,0.008
5/14/21,0.005
5/16/21,null
5/17/21,0.005
5/18/21,0.01
5/19/21,0.005
5/20/21,0.003
5/21/21,0.003
5/23/21,null
5/24/21,0.003
5/25/21,0.01
5/26/21,0.005
5/27/21,0.005
5/28/21,0.008
5/30/21,null
6/1/21,0.01
6/2/21,0.015
6/3/21,0.015
6/4/21,0.015
6/6/21,null
6/7/21,0.018
6/8/21,0.02
6/9/21,0.02
6/10/21,0.02
6/11/21,0.018
6/13/21,null
6/14/21,0.015
6/15/21,0.02
6/16/21,0.028
6/17/21,0.028
6/18/21,0.028
6/20/21,null
6/21/21,0.03
6/22/21,0.038
6/23/21,0.04
6/24/21,0.043
6/25/21,0.043
6/27/21,null
6/28/21,0.04
6/29/21,0.04
6/30/21,0.04
7/1/21,0.04
7/2/21,0.038
7/4/21,null
7/6/21,0.04
7/7/21,0.043
7/8/21,0.043
7/9/21,0.043
7/11/21,null
7/12/21,0.043
7/13/21,0.045
7/14/21,0.045
7/15/21,0.038
7/16/21,0.038
7/18/21,null
7/19/21,0.04
7/20/21,0.045
7/21/21,0.045
7/22/21,0.043
7/23/21,0.045
7/25/21,null
7/26/21,0.04
7/27/21,0.045
7/28/21,0.045
7/29/21,0.04
7/30/21,0.04
8/1/21,null
8/2/21,0.038
8/3/21,0.045
8/4/21,0.045
8/5/21,0.043
8/6/21,0.043
8/8/21,null
8/9/21,0.045
8/10/21,0.05
8/11/21,0.045
8/12/21,0.043
8/13/21,0.045
8/15/21,null
8/16/21,0.058
8/17/21,0.063
8/18/21,0.055
8/19/21,0.043
8/20/21,0.043
8/22/21,null
8/23/21,0.04
8/24/21,0.048
8/25/21,0.045
8/26/21,0.043
8/27/21,0.043
8/29/21,null
8/30/21,0.038
8/31/21,0.04
9/1/21,0.04
9/2/21,0.04
9/3/21,0.04
9/5/21,null
9/7/21,0.035
9/8/21,0.04
9/9/21,0.038
9/10/21,0.038
9/12/21,null
9/13/21,0.038
9/14/21,0.035
9/15/21,0.035
9/16/21,0.03
9/17/21,0.028
9/19/21,null
9/20/21,0.025
9/21/21,0.02
9/22/21,0.025
9/23/21,0.025
9/24/21,0.025
9/26/21,null
9/27/21,0.025
9/28/21,0.03
9/29/21,0.03
9/30/21,0.028
10/1/21,0.028
10/3/21,null
10/4/21,0.028
10/5/21,0.035
10/6/21,0.04
10/7/21,0.04
10/8/21,0.04
10/10/21,null
10/11/21,0.04
10/12/21,0.04
10/13/21,0.045
10/14/21,0.04
10/15/21,0.038
10/17/21,null
10/18/21,0.043
10/19/21,0.05
10/20/21,0.05
10/21/21,0.05
10/22/21,0.05
10/24/21,null
10/25/21,0.05
10/26/21,0.05
10/27/21,0.05
10/28/21,0.048
10/29/21,0.048
10/31/21,null
11/1/21,0.04
11/2/21,0.045
11/3/21,0.045
11/4/21,0.035
11/5/21,0.04
11/7/21,null
11/8/21,0.035
11/9/21,0.04
11/10/21,0.045
11/11/21,0.04
11/12/21,0.043
11/14/21,null
11/15/21,0.038
11/16/21,0.04
11/17/21,0.045
11/18/21,0.045
11/19/21,0.045
11/21/21,null
11/22/21,0.04
11/23/21,0.045
11/24/21,0.05
11/26/21,0.043
11/28/21,null
11/29/21,0.038
11/30/21,0.048
12/1/21,0.05
12/2/21,0.043
12/3/21,0.043
12/5/21,null
12/6/21,0.043
12/7/21,0.058
12/8/21,0.06
12/9/21,0.053
12/10/21,0.05
12/12/21,null
12/13/21,0.043
12/14/21,0.048
12/15/21,0.045
12/16/21,0.035
12/17/21,0.03
12/19/21,null
12/20/21,0.038
12/21/21,0.065
12/22/21,0.065
12/23/21,0.058
12/26/21,null
12/27/21,0.043
12/28/21,0.05
12/29/21,0.045
12/30/21,0.025
12/31/21,0.033
1/2/22,null
1/3/22,0.053
1/4/22,0.08
1/5/22,0.085
1/6/22,0.09
1/7/22,0.088
1/9/22,null
1/10/22,0.09
1/11/22,0.118
1/12/22,0.115
1/13/22,0.11
1/14/22,0.118
1/16/22,null
1/18/22,0.13
1/19/22,0.165
1/20/22,0.168
1/21/22,0.158
1/23/22,null
1/24/22,0.155
1/25/22,0.185
1/26/22,0.178
1/27/22,0.185
1/28/22,0.173
1/30/22,null
1/31/22,0.173
2/1/22,0.203
2/2/22,0.185
2/3/22,0.193
2/4/22,0.223
2/6/22,null
2/7/22,0.203
2/8/22,0.275
2/9/22,0.27
2/10/22,0.37
2/11/22,0.338
2/13/22,null
2/14/22,0.36
2/15/22,0.4
2/16/22,0.373
2/17/22,0.345
2/18/22,0.318
2/20/22,null
2/22/22,0.33
2/23/22,0.34
2/24/22,0.283
2/25/22,0.298
2/27/22,null
2/28/22,0.288
3/1/22,0.313
3/2/22,0.325
3/3/22,0.335
3/4/22,0.305
3/6/22,null
3/7/22,0.305
3/8/22,0.36
3/9/22,0.37
3/10/22,0.36
3/11/22,0.365
3/13/22,null
3/14/22,0.378
3/15/22,0.448
3/16/22,0.433
3/17/22,0.36
3/18/22,0.383
3/20/22,null
3/21/22,0.455
3/22/22,0.52
3/23/22,0.48
3/24/22,0.483
3/25/22,0.52
3/27/22,null
3/28/22,0.508
3/29/22,0.555
3/30/22,0.525
3/31/22,0.493
4/1/22,0.5
4/3/22,null
4/4/22,0.538
4/5/22,0.668
4/6/22,0.663
4/7/22,0.66
4/8/22,0.668
4/10/22,null
4/11/22,0.68
4/12/22,0.738
4/13/22,0.74
4/14/22,0.748
4/17/22,null
4/18/22,0.755
4/19/22,0.833
4/20/22,0.795
4/21/22,0.8
4/22/22,0.78
4/24/22,null
4/25/22,0.798
4/26/22,0.833
4/27/22,0.808
4/28/22,0.785
4/29/22,0.808
5/1/22,null
5/2/22,0.765
5/3/22,0.895
5/4/22,0.833
5/5/22,0.803
5/6/22,0.815
5/8/22,null
5/9/22,0.8
5/10/22,0.878
5/11/22,0.883
5/12/22,0.905
5/13/22,0.943
5/15/22,null
5/16/22,0.98
5/17/22,1.038
5/18/22,1.003
5/19/22,1
5/20/22,0.978
5/22/22,null
5/23/22,0.993
5/24/22,1.043
5/25/22,1.045
5/26/22,1.028
5/27/22,1.025
5/29/22,null
5/31/22,1.03
6/1/22,1.103
6/2/22,1.113
6/3/22,1.135
6/5/22,null
6/6/22,1.16
6/7/22,1.225
6/8/22,1.233
6/9/22,1.238
6/10/22,1.288
6/12/22,null
6/13/22,1.498
6/14/22,1.743
6/15/22,1.695
6/16/22,1.483
6/17/22,1.51
6/19/22,null
6/21/22,1.488
6/22/22,1.545
6/23/22,1.56
6/24/22,1.598
6/26/22,null
6/27/22,1.633
6/28/22,1.738
6/29/22,1.705
6/30/22,1.6
7/1/22,1.603
7/3/22,null
7/5/22,1.63
7/6/22,1.84
7/7/22,1.853
7/8/22,1.843
7/10/22,null
7/11/22,1.953
7/12/22,2.113
7/13/22,2.323
7/14/22,2.273
7/15/22,2.24
7/17/22,null
7/18/22,2.26
7/19/22,2.45
7/20/22,2.378
7/21/22,2.36
7/22/22,2.355
7/24/22,null
7/25/22,2.393
7/26/22,2.475
7/27/22,2.383
7/28/22,2.308
7/29/22,2.298
7/31/22,null
8/1/22,2.265
8/2/22,2.463
8/3/22,2.428
8/4/22,2.378
8/5/22,2.41
8/7/22,null
8/8/22,2.46
8/9/22,2.57
8/10/22,2.535
8/11/22,2.49
8/12/22,2.5
8/14/22,null
8/15/22,2.513
8/16/22,2.598
8/17/22,2.568
8/18/22,2.565
8/19/22,2.58
8/21/22,null
8/22/22,2.648
8/23/22,2.703
8/24/22,2.713
8/25/22,2.73
8/26/22,2.755
8/28/22,null
8/29/22,2.798
8/30/22,2.873
8/31/22,2.86
9/1/22,2.863
9/2/22,2.82
9/4/22,null
9/6/22,2.845
9/7/22,2.933
9/8/22,2.95
9/9/22,2.968
9/11/22,null
9/12/22,2.995
9/13/22,3.153
9/14/22,3.128
9/15/22,3.095
9/16/22,3.07
9/18/22,null
9/19/22,3.035
9/20/22,3.243
9/21/22,3.19
9/22/22,3.13
9/23/22,3.108
9/25/22,null
9/26/22,3.165
9/27/22,3.25
9/28/22,3.23
9/29/22,3.218
9/30/22,3.18
10/2/22,null
10/3/22,3.15
10/4/22,3.315
10/5/22,3.293
10/6/22,3.288
10/7/22,3.293
10/9/22,null
10/10/22,3.285
10/11/22,3.34
10/12/22,3.533
10/13/22,3.583
10/14/22,3.628
10/16/22,null
10/17/22,3.688
10/18/22,3.833
10/19/22,3.893
10/20/22,3.89
10/21/22,3.885
10/23/22,null
10/24/22,3.913
10/25/22,3.965
10/26/22,3.93
10/27/22,3.93
10/28/22,3.97
10/30/22,null
10/31/22,3.975
11/1/22,4.05
11/2/22,4.025
11/3/22,4.025
11/4/22,4.013
11/6/22,null
11/7/22,3.983
11/8/22,4.09
11/9/22,4.093
11/10/22,4.055
11/11/22,4.063
11/13/22,null
11/14/22,4.068
11/15/22,4.13
11/16/22,4.125
11/17/22,4.113
11/18/22,4.135
11/20/22,null
11/21/22,4.098
11/22/22,4.198
11/23/22,4.2
11/25/22,4.175
11/27/22,null
11/28/22,4.183
11/29/22,4.253
11/30/22,4.253
12/1/22,4.193
12/2/22,4.208
12/4/22,null
12/5/22,4.158
12/6/22,4.22
12/7/22,4.183
12/8/22,4.15
12/9/22,4.173
