,Stock,fiscalDateEnding,PER,PBV,Acid_test,ATR,CCC,ROA,DER,NPM,EM,Return
8,HII,2021-06-30,409.7557327682907,5.832260862637722,13.282926829268293,0.21908059242161954,785.5787240269242,0.014233506443546836,1.1617463617463617,0.0649692712906058,2.1617463617463617,1
9,HII,2021-03-31,238.17432173763413,6.1303913699267,8.687898089171975,0.28499069671283855,624.7384918898156,0.02573909448004962,1.0137385512073271,0.09031556039173014,2.0137385512073274,0
10,HII,2020-12-31,220.6202112146326,5.087533695818888,35.93333333333333,0.24036563830892282,746.2360194192612,0.023060143346837023,0.9755797250153909,0.09593777009507347,1.975579725015391,0
11,HII,2020-09-30,765.2919737617925,4.248949780994657,62.475,0.21234024722396816,860.8048442101499,0.005552063691598576,0.9164826340092351,0.026147015293537246,1.9164826340092351,0
12,HII,2020-06-30,289.4493000119232,5.265497578217957,3.2237017310252996,0.23934426229508196,819.3698924731184,0.018191433104177684,0.983011744966443,0.0760053026955369,1.983011744966443,1
13,HII,2020-03-31,349.42140617626626,5.479822073493703,3.3002754820936637,0.2538680138932744,665.4457429831971,0.015682559730554678,0.9597772277227723,0.061774461028192375,1.9597772277227723,1
14,HII,2019-12-31,461.812195319634,7.524235937285615,4.074675324675325,0.234765129073212,700.9242372027675,0.01629284807448159,0.9907329401853412,0.0694006309148265,1.9907329401853413,1
15,HII,2019-09-30,468.62072825431824,6.954603271484375,26.970165289256197,0.25368115942028985,783.4093198522554,0.014840579710144927,0.8169370128502212,0.05850091407678245,1.8169370128502211,0
16,HII,2019-06-30,549.2695970696918,7.183973892066463,26.970165289256197,0.23054755043227665,831.6033653846154,0.013079139880292618,0.760390243902439,0.05673076923076923,1.760390243902439,1
17,HII,2019-03-31,281.59625244140625,6.668722689631158,28.047689810671862,0.24564343163538874,595.1910464352483,0.023681858802502235,0.7776012708498808,0.0964074579354252,1.777601270849881,0
18,HII,2018-12-31,241.5089898921517,6.462439668766386,26.970165289256197,0.24339799018462258,482.20183486238534,0.026758588455246552,0.8623993032876116,0.1099375900144023,1.863270193773133,0
0,HLT,2023-06-30,208.2246435961677,3.9746364511499763,26.970165289256197,0.20172349888806523,2014.2693500229673,0.019088213491475166,0.8668050510292337,0.09462563160312357,1.8668050510292338,0
1,HLT,2023-03-31,126.86723439286395,3.8110131771095683,12.466386554621849,0.2504808132612877,1750.046972632268,0.03003938089568642,0.9466928151185594,0.11992687385740403,1.9466928151185594,0
2,HLT,2022-12-31,107.09399495413392,3.5284481816449365,76.11111111111111,0.21477402202810483,1507.1909412426655,0.032947208507406,0.985296889726673,0.15340406719717065,1.985296889726673,0
3,HLT,2022-09-30,96.6113040758216,3.391163668437843,14.88888888888889,0.2049790156428844,1382.1497557816779,0.03510110644792064,1.05932036927912,0.17124243834341554,2.05932036927912,0
4,HLT,2022-06-30,156.33354903167148,3.1700346623351847,15.462857142857143,0.15561932089909133,1450.915090259282,0.02027737924438068,1.0411948457633737,0.13030116779348494,2.0411948457633735,0
5,HLT,2022-03-31,307.6698770328444,4.379536353619456,5.919964430473986,0.206933281688777,1202.1655769011875,0.01423453084148349,1.003686457120683,0.0687880205896116,2.003686457120683,1
6,HLT,2021-12-31,194.20825359930143,4.372180207139808,3.7342858872153153,0.15422699673049978,1189.7731618389332,0.022512844465203175,0.9864538875487103,0.14597213809812234,1.9864538875487103,1
7,HLT,2021-09-30,305.9256602360652,3.7909003746724315,21.646153846153847,0.11695739205032886,1352.7236145069276,0.012391573729863693,1.1211079660331582,0.10594947025264874,2.121107966033158,0
8,HLT,2021-06-30,-336.2166330549452,3.4921519878759457,13.282926829268293,0.07434121946528179,1415.1678262997796,-0.0103866128101558,1.1617463617463617,-0.13971539456662355,2.1617463617463617,0
9,HLT,2021-03-31,-163.58027134622847,3.7876763263960282,8.687898089171975,0.12631796568120737,746.3757885370154,-0.023154848046309694,1.0137385512073271,-0.18330605564648117,2.0137385512073274,1
10,HLT,2020-12-31,-428.1681599677363,3.51358519138373,35.93333333333333,0.08361898826217928,1320.636363636364,-0.008206087046847409,0.9755797250153909,-0.09813664596273292,1.975579725015391,0
11,HLT,2020-09-30,-60.91466099938681,2.7439036486210275,62.475,0.04661638382568615,1541.1178122934568,-0.04504504504504504,0.9164826340092351,-0.9662921348314607,1.9164826340092351,0
